school,grade,kpop,tdap,tdBooster,MCV,HepB,MMR,HepA,Varicel,missing,page
Ballard High,12,419,376,6,66,396,395,88,374,17,925
Binet School,12,8,8,1,8,8,8,5,8,0,926
Breckinridge Metropolitan High,12,21,19,1,4,21,20,4,19,1,927
Brooklawn,12,6,6,0,3,6,6,4,6,0,928
Butler Traditional High,12,394,394,20,314,394,394,268,387,0,929
Central High Magnet Career Academy,12,274,266,19,90,269,271,102,259,1,930
Churchill Park School,12,9,9,2,7,9,9,6,9,0,931
Doss High,12,249,233,36,95,232,238,87,225,9,932
Dupont Manual High,12,472,463,4,217,465,463,207,456,4,933
Eastern High,12,423,392,13,114,396,396,138,383,23,934
ESL Newcomer Academy,12,5,1,2,0,2,2,0,1,3,935
Fairdale High,12,285,284,28,159,284,284,145,278,1,936
Fern Creek High,12,371,365,47,102,361,363,109,342,8,937
Georgia Chaffee Teenage Parent Program,12,27,26,3,22,26,25,24,26,1,938
Home Of The Innocents Discovery,12,4,3,0,0,3,3,2,3,1,939
Home Of The Innocents School,12,1,1,0,0,1,1,0,1,0,940
Iroquois High,12,230,176,53,17,169,179,16,160,45,941
J. Graham Brown School,12,53,53,4,46,53,53,43,52,0,942
Jefferson County High,12,312,248,23,26,272,275,40,241,36,943
Jeffersontown High,12,234,225,16,88,225,226,91,213,9,944
Liberty High,12,53,49,2,3,52,52,6,48,0,945
Louisville Day,12,4,4,0,0,4,4,0,4,0,946
Louisville Male High,12,398,398,12,290,398,398,282,393,0,947
Louisville Metro Youth Center,12,2,2,0,0,2,2,0,2,0,948
Marion C. Moore School,12,264,252,31,79,252,258,97,239,7,949
Mary Jo and William MacDonald Maryhurst,12,5,5,0,0,5,5,0,5,1,950
Mary Ryan Academy,12,13,13,2,6,13,13,7,13,0,951
Minor Daniels Academy,12,8,8,0,2,8,8,0,7,0,952
Peace Academy,12,10,10,2,2,10,10,1,10,0,953
Pleasure Ridge Park High,12,388,368,43,200,381,381,165,358,9,954
Seneca High,12,249,224,25,66,229,231,71,213,20,955
Southern High,12,287,268,31,86,273,275,66,258,18,956
The Academy @ Shawnee,12,96,89,2,54,94,94,46,88,2,957
The Brook-KMI,12,4,3,0,2,3,3,2,3,1,958
The Phoenix School Of Discovery,12,50,48,1,25,49,49,26,48,1,959
U OF L Pact Program,12,1,0,0,0,1,1,0,0,0,960
Valley High,12,240,234,12,139,239,239,123,230,1,961
Waggener High,12,208,178,12,50,187,188,57,172,15,962
Waller-Williams Environmental,12,4,4,0,0,4,4,1,4,0,963
Western High,12,134,126,8,46,131,131,49,124,6,964
